第一批, 华润信托民生弘盈8号, 民生银行
第一批, 华鑫信托华鹏3号, 民生银行
第一批, 中诚诚沣锦绣3号, 民生银行
第一批, 中诚诚沣锦绣1号, 民生银行
第一批, 中诚诚沣锦绣4号, 民生银行
第一批, 中诚诚沣锦绣5号, 民生银行
第一批, 中诚诚沣锦绣10号, 民生银行
第一批, 华鑫信托华鹏41号, 民生银行
第一批, 华鑫信托华鹏42号, 民生银行
第一批, 华鑫信托华鹏43号, 民生银行
第一批, 华鑫信托华鹏44号, 民生银行
第一批, 华鑫信托华鹏49号, 民生银行
第一批, 华鑫信托华鹏11号, 民生银行
第一批, 华鑫信托华鹏12号, 民生银行
第一批, 大业信托盛业优选3号, 民生银行
第一批, 大业信托盛业优选15号, 民生银行
第一批, 大业信托优选26号, 民生银行
第一批, 大业信托优选27号, 民生银行
第一批, 大业信托盛业优选30, 民生银行
第一批, 中诚信托聚盈2号, 民生银行
第一批, 华鑫信托民鑫20号, 民生银行
第一批, 华鑫信托华鹏91号, 民生银行
第一批, 华鑫信托华鹏50号, 民生银行
第一批, 华鑫信托复兴7号, 民生银行
第一批, 复兴5号, 民生银行
第一批, 华鑫信托华鹏96号, 民生银行
第一批, 华润信托弘盈12号, 民生银行
第一批, 鲲凌11号, 民生银行
第一批, 鲲凌13号, 民生银行
第一批, 鲲凌15号, 民生银行
第一批, 华鑫信托华鹏98号, 民生银行
第一批, 华鑫信托复兴31号, 民生银行
第一批, 华鑫信托华昇87号, 民生银行
第一批, 陕国投开云6号, 民生银行
第一批, 国民信托鼎益丰天河7号, 民生银行
第一批, 华鑫信托华鹏99号, 民生银行
第一批, 华鑫信托华鹏58号, 民生银行
第一批, 华鑫信托华鹏95号, 民生银行
第一批, 金谷信惠182号, 民生银行
第一批, 金谷信惠183号, 民生银行
第一批, 金谷信惠63号, 民生银行
第一批, 华鑫信托华熙1号, 民生银行
第一批, 华鑫信托华熙2号, 民生银行
第一批, 金谷信惠132号, 民生银行
第一批, 华鑫信托华旭56号, 民生银行
第一批, 华鑫信托华鹏72号, 民生银行
第一批, 天成价值优选3号, 民生银行
